terrorism,longitude,latitude
terrorism,-89.386694,43.07295
terrorism,-83.047924,42.331685
terrorism,13.4,52.516667
terrorism,-88.650419,33.60651
terrorism,-82.615241,41.241996
terrorism,-122.675629,45.511795
terrorism,-66.264884,18.460791
terrorism,-72.674069,41.763325
terrorism,,
terrorism,-122.30352,47.655335
terrorism,-122.329439,47.60356
terrorism,-76.078063,38.563122
terrorism,-77.03653,38.897676
terrorism,-90.864369,40.85122
terrorism,-77.031959,38.89037
terrorism,-87.906844,43.04181
terrorism,-91.186994,30.443335
terrorism,-93.336547,45.031807
terrorism,-79.183128,39.645039
terrorism,-97.446599,35.22076
terrorism,-81.377389,28.538235
terrorism,-122.273024,37.805065
terrorism,-122.675629,45.511795
terrorism,-122.675629,45.511795
terrorism,-118.328661,34.092809
terrorism,-83.047924,42.331685
terrorism,-90.332723,38.550245
terrorism,-77.189169,40.20119
terrorism,-118.245319,34.05349
terrorism,-112.075774,33.44826
terrorism,-58.381503,-34.6037
terrorism,,
terrorism,-122.675629,45.511795
terrorism,13.331741,52.505803
terrorism,-90.364659,40.946915
terrorism,-89.176156,37.005322
terrorism,-87.859977,42.039274
terrorism,-93.093326,44.943829
terrorism,-118.245319,34.05349
terrorism,-56.187214,-34.891151
terrorism,-56.187214,-34.891151
terrorism,13.4,52.516667
terrorism,-76.503519,39.26931
terrorism,-122.532474,37.97457
terrorism,-56.187214,-34.891151
terrorism,-76.829198,39.464791
terrorism,-122.061628,37.90118
terrorism,-118.082952,33.946154
terrorism,-56.187214,-34.891151
terrorism,-117.867834,33.745573
terrorism,-118.245319,34.05349
terrorism,-71.241298,46.803137
terrorism,-71.241298,46.803137
terrorism,-89.176269,37.005105
terrorism,-80.255359,27.19999
terrorism,-87.632409,41.88415
terrorism,-58.381503,-34.6037
terrorism,-58.381503,-34.6037
terrorism,-122.675629,45.511795
terrorism,-80.14949,26.011201
terrorism,-122.314834,37.54703
terrorism,-118.027606,34.06857
terrorism,-118.353879,33.78359
terrorism,,
terrorism,-122.415643,37.781553
terrorism,32.865597,39.918392
terrorism,-118.245319,34.05349
terrorism,27.133235,38.419723
terrorism,-74.857269,40.097625
terrorism,-66.049987,18.399712
terrorism,-56.187214,-34.891151
terrorism,8.680285,49.4019
terrorism,-122.314834,37.54703
terrorism,-83.835349,31.530345
terrorism,32.865597,39.918392
terrorism,-119.789196,36.736419
terrorism,-118.245319,34.05349
terrorism,-93.283006,44.883175
terrorism,-119.785734,36.740685
terrorism,-121.962416,37.235807
terrorism,-71.004817,42.206391
terrorism,2.169919,41.387917
terrorism,-91.526534,41.657825
terrorism,-118.273378,34.024922
terrorism,-3.700345,40.416691
terrorism,-122.030954,36.974025
terrorism,-73.587219,40.658455
terrorism,-118.245319,34.05349
terrorism,-71.411994,41.823875
terrorism,-117.161719,32.715695
terrorism,-122.314834,37.54703
terrorism,13.331741,52.505803
terrorism,31.25,30.05
terrorism,-2.473289,43.18418
terrorism,-7.468374,54.823432
terrorism,-78.878464,42.88544
terrorism,-6.703625,54.250039
terrorism,2.01044,41.560953
terrorism,8.403756,49.008085
terrorism,-5.930109,54.597269
terrorism,-5.930109,54.597269
terrorism,8.508595,50.179683
terrorism,-6.658279,54.338571
terrorism,-7.449668,54.101906
terrorism,-64.182129,-31.399301
terrorism,-3.700345,40.416691
terrorism,-0.126236,51.500152
terrorism,-0.126236,51.500152
terrorism,23.716647,37.97918
terrorism,7.769004,49.4447
terrorism,-0.126236,51.500152
terrorism,-0.126236,51.500152
terrorism,-77.031959,38.89037
terrorism,-0.126236,51.500152
terrorism,-0.126236,51.500152
terrorism,-3.700345,40.416691
terrorism,8.539182,47.36865
terrorism,8.933989,44.407062
terrorism,0.066265,51.192882
terrorism,-0.126236,51.500152
terrorism,105.270546,40.014986
terrorism,38.933652,15.333513
terrorism,-64.182129,-31.399301
terrorism,-80.201529,25.764367
terrorism,-7.562948,54.190675
terrorism,-58.381503,-34.6037
terrorism,13.331741,52.505803
terrorism,-89.62,20.97
terrorism,10.222956,45.539838
terrorism,-118.245319,34.05349
terrorism,-0.126236,51.500152
terrorism,,
terrorism,126.977969,37.566535
terrorism,-58.381503,-34.6037
terrorism,13.4,52.516667
terrorism,9.991586,53.553813
terrorism,-0.126236,51.500152
terrorism,-86.251389,12.136389
terrorism,85.781004,25.863042
terrorism,-104.992259,39.74001
terrorism,-118.245319,34.05349
terrorism,71.579994,34.009667
terrorism,-80.201529,25.764367
terrorism,,
terrorism,33.023397,34.707332
terrorism,-66.917253,10.502961
terrorism,51.422974,35.696442
terrorism,-118.245319,34.05349
terrorism,39.670672,-4.058862
terrorism,-66.917253,10.502961
terrorism,-118.492289,34.011565
terrorism,12.494249,41.89052
terrorism,-3.700345,40.416691
terrorism,-122.891429,47.039225
terrorism,-87.632409,41.88415
terrorism,-66.106654,18.46617
terrorism,-122.244739,37.766585
terrorism,-103.45906,43.878581
terrorism,-66.917253,10.502961
terrorism,-58.381503,-34.6037
terrorism,80.02558,9.66123
terrorism,-122.441654,47.255135
terrorism,-122.206419,47.976575
terrorism,15.97565,-17.906983
terrorism,-1.675708,48.113475
terrorism,-112.075774,33.44826
terrorism,-122.329439,47.60356
terrorism,2.169919,41.387917
terrorism,-80.143564,26.12367
terrorism,-102.556246,43.02744
terrorism,-102.556246,43.02744
terrorism,-102.556246,43.02744
terrorism,9.991586,53.553813
terrorism,35.495479,33.888629
terrorism,-0.126236,51.500152
terrorism,-77.031959,38.89037
terrorism,-77.031959,38.89037
terrorism,-96.712954,17.054348
terrorism,-80.201529,25.764367
terrorism,-80.201529,25.764367
terrorism,-80.201529,25.764367
terrorism,-80.201529,25.764367
terrorism,-6.443767,54.42071
terrorism,-5.930109,54.597269
terrorism,-5.930109,54.597269
terrorism,-104.992259,39.74001
terrorism,-90.53288,14.624422
terrorism,,
terrorism,-6.36559,54.417699
terrorism,-122.419644,37.777125
terrorism,-122.419644,37.777125
terrorism,32.855518,39.920558
terrorism,12.494249,41.89052
terrorism,2.352222,48.856614
terrorism,-2.845833,43.230556
terrorism,-2.074074,43.199523
terrorism,-90.53288,14.624422
