businessTerror,longitude,latitude
businessTerror,44.366111,33.423333
businessTerror,44.363851,33.368141
businessTerror,44.354167,33.061667
businessTerror,78.479669,9.869925
businessTerror,44.398417,33.342257
businessTerror,64.368809,31.582865
businessTerror,44.413483,33.546272
businessTerror,44.641439,33.044312
businessTerror,75.334212,12.166372
businessTerror,30.716375,46.498405
businessTerror,44.328211,35.299512
businessTerror,44.441866,33.362396
businessTerror,90.388399,23.742684
businessTerror,44.48659,33.321917
businessTerror,31.23598,30.044555
businessTerror,-104.81311,38.824856
businessTerror,79.468227,18.00113
businessTerror,68.814303,36.296755
businessTerror,43.471658,3.312478
businessTerror,122.011242,6.426872
businessTerror,66.96863,30.135364
businessTerror,4.72444,45.989461
businessTerror,44.479551,33.255202
businessTerror,44.213536,15.355873
businessTerror,43.13,36.340108
businessTerror,88.27045,24.57972
businessTerror,88.231626,24.608869
businessTerror,2.699313,49.062076
businessTerror,2.415619,48.847155
businessTerror,44.330751,33.333366
businessTerror,44.347316,33.404845
businessTerror,34.394905,47.567248
businessTerror,34.453593,31.522561
businessTerror,28.792477,41.096099
businessTerror,28.796313,41.005884
businessTerror,35.854032,34.443955
businessTerror,63.714911,26.025566
businessTerror,49.1825,11.284645
businessTerror,71.432905,33.976313
businessTerror,67.020396,24.923077
businessTerror,88.277149,24.591206
businessTerror,90.386137,23.75151
businessTerror,9.404009,42.017023
businessTerror,36.251832,49.889214
businessTerror,37.80285,48.015883
businessTerror,39.2333,48.733226
businessTerror,91.573388,22.772683
businessTerror,89.075877,23.094731
businessTerror,122.120277,6.497901
businessTerror,90.412,23.725002
businessTerror,44.633423,33.750037
businessTerror,122.185398,6.664421
businessTerror,79.739988,15.9129
businessTerror,44.318925,33.318355
businessTerror,30.723489,46.482094
businessTerror,90.356047,23.806362
businessTerror,44.293074,33.225134
businessTerror,20.066488,32.116136
businessTerror,-6.264126,53.393876
businessTerror,-7.32048,54.9932
businessTerror,44.351177,33.251134
businessTerror,64.57,31.820833
