govTerror,longitude,latitude
govTerror,43.145785,36.325846
govTerror,69.363056,35.029167
govTerror,45.30408,2.042886
govTerror,73.83777,36.337837
govTerror,80.367085,7.483368
govTerror,91.850123,24.912089
govTerror,44.881944,13.056667
govTerror,44.52248,33.236647
govTerror,62.203101,34.341926
govTerror,36.459722,35.630833
govTerror,3.023775,15.425015
govTerror,11.754643,12.107451
govTerror,71.049777,35.221192
govTerror,70.993524,35.190189
govTerror,44.925186,31.989009
govTerror,68.98004,31.329887
govTerror,62.203101,34.341926
govTerror,43.683333,34.6
govTerror,1.784334,15.587982
govTerror,-0.026982,16.265509
govTerror,49.366111,14.776111
govTerror,69.166579,34.533498
govTerror,66.271154,35.207547
govTerror,120.320635,15.814056
govTerror,121.5318,16.6715
govTerror,68.714007,34.007712
govTerror,80.627589,20.040117
govTerror,25.272219,12.591678
govTerror,22.563177,12.683231
govTerror,124.387397,6.978004
govTerror,70.44742,34.434093
govTerror,124.166209,7.885051
govTerror,0.004826,16.300194
govTerror,12.727688,32.752053
govTerror,123.4996,9.1584
govTerror,66.99061,30.191594
govTerror,45.5771,13.988915
govTerror,62.156307,33.305667
govTerror,90.376489,23.745937
govTerror,91.249391,22.945389
govTerror,1.410173,18.440531
govTerror,90.404076,23.79392
govTerror,91.397434,23.01606
govTerror,120.939674,14.420209
govTerror,71.089311,34.927108
govTerror,70.447241,34.433798
govTerror,68.781077,33.177132
govTerror,0,0
govTerror,34.453593,31.522561
govTerror,88.267296,24.579343
govTerror,29.974054,6.60308
govTerror,68.714007,34.007712
govTerror,44.363846,33.368108
govTerror,62.218857,34.279105
govTerror,8.1,6.333346
govTerror,90.418485,23.781835
govTerror,90.418485,23.781835
govTerror,44.449247,33.31321
govTerror,44.1525,13.978889
govTerror,62.156307,33.305667
govTerror,64.469444,32.403056
govTerror,88.267296,24.579343
govTerror,44.290528,14.795403
govTerror,90.406164,23.708637
govTerror,101.570281,5.987041
govTerror,90.419609,23.782694
govTerror,96.316577,25.616616
govTerror,89.840556,23.606111
govTerror,23.735798,37.982325
govTerror,63.863831,33.69186
govTerror,5.218357,7.617529
govTerror,90.397552,23.724916
govTerror,91.85903,22.398561
govTerror,44.507795,33.25153
govTerror,13.175477,32.898594
govTerror,44.213536,15.355873
govTerror,1.410668,18.443116
govTerror,65.70216,31.612835
govTerror,44.213536,15.355873
govTerror,69.166622,34.533278
govTerror,67.122879,24.932138
govTerror,75.059298,33.733444
govTerror,45.116761,2.14269
govTerror,44.213536,15.355873
govTerror,44.213536,15.355873
govTerror,1.409545,18.442468
govTerror,44.213536,15.355873
govTerror,36.337017,50.004982
govTerror,67.485894,28.612296
govTerror,44.213536,15.355873
govTerror,16.588936,31.205314
govTerror,18.583828,4.366584
govTerror,18.583828,4.366584
govTerror,44.213536,15.355873
govTerror,44.213536,15.355873
govTerror,44.641439,33.044312
govTerror,44.373779,33.664354
govTerror,91.918658,22.374841
govTerror,88.83371,23.638729
govTerror,2.10218,15.385244
govTerror,121.062278,14.495531
govTerror,44.26214,33.537227
govTerror,90.406164,23.708637
govTerror,31.320047,30.088377
govTerror,45.340469,2.032623
