citizenTerror,longitude,latitude
citizenTerror,44.514869,33.349705
citizenTerror,44.488947,33.305081
citizenTerror,42.550002,33.849946
citizenTerror,66.961875,24.937569
citizenTerror,35.243698,31.771366
citizenTerror,38.507095,48.328046
citizenTerror,80.77664,18.832981
citizenTerror,37.096368,36.19957
citizenTerror,84.182967,24.125443
citizenTerror,68.868066,36.728591
citizenTerror,64.409318,28.891082
citizenTerror,44.301349,33.380168
citizenTerror,65.81,32.613889
citizenTerror,43.783288,33.349906
citizenTerror,43.907881,33.399539
citizenTerror,8.460458,9.228089
citizenTerror,9.21093,9.410207
citizenTerror,8.499615,9.636866
citizenTerror,122.140401,6.66079
citizenTerror,44.385499,33.215389
citizenTerror,44.91494,33.962791
citizenTerror,16.588936,31.205314
citizenTerror,43.407675,35.213561
citizenTerror,43.466814,35.236431
citizenTerror,43.3,33.416611
citizenTerror,13.72156,12.992768
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.86245,13.120723
citizenTerror,13.876099,13.120905
citizenTerror,68.416399,33.549963
citizenTerror,44.213536,15.355873
citizenTerror,70.336069,33.695975
citizenTerror,44.620853,34.880927
citizenTerror,44.293074,33.225134
citizenTerror,44.422918,33.298709
citizenTerror,44.157787,33.462707
citizenTerror,67.876624,29.53963
citizenTerror,30.715515,46.48461
citizenTerror,69.45009,31.350038
citizenTerror,70.962931,33.748011
citizenTerror,66.945547,24.976461
citizenTerror,90.418485,23.781835
citizenTerror,65.7164,31.613509
citizenTerror,81.582525,17.985198
citizenTerror,33.617577,30.608472
citizenTerror,44.278685,33.37016
citizenTerror,43.695095,34.709253
citizenTerror,44.143611,35.188333
citizenTerror,43.97273,35.037411
citizenTerror,0,0
citizenTerror,0,0
citizenTerror,43.924697,35.149576
citizenTerror,44.936944,33.978277
citizenTerror,32.62154,46.639806
citizenTerror,71.21719,34.689456
citizenTerror,44.205278,15.693056
citizenTerror,91.398509,23.015022
citizenTerror,34.172752,30.81214
citizenTerror,-6.517112,55.072002
citizenTerror,45.381111,14.0475
citizenTerror,64.479408,32.437599
citizenTerror,67.033333,24.916667
citizenTerror,44.366273,33.423458
citizenTerror,44.583424,33.100093
citizenTerror,38.350817,36.88774
citizenTerror,42.283333,2.333333
citizenTerror,121,6.05
citizenTerror,7.42277,4.699885
citizenTerror,13.191338,32.887209
citizenTerror,2.287296,48.789746
citizenTerror,44.354167,33.061667
citizenTerror,44.215907,34.05911
citizenTerror,44.434701,33.426411
citizenTerror,44.276368,33.341992
citizenTerror,45.203487,4.735941
citizenTerror,11.180555,10.297129
citizenTerror,33.617577,30.608472
citizenTerror,13.818728,13.095123
citizenTerror,11.916542,11.562315
citizenTerror,13.86245,13.120723
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.60899,12.96309
citizenTerror,13.876099,13.120905
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.563938,12.922965
citizenTerror,13.07357,10.722753
citizenTerror,12.907412,10.655179
citizenTerror,71.338333,34.744167
citizenTerror,33.803186,31.131997
citizenTerror,44.342575,33.230986
citizenTerror,67.020396,24.923077
citizenTerror,80.2,9.816667
citizenTerror,35.23059,31.78173
citizenTerror,-4.91545,14.456878
citizenTerror,45.332862,2.045086
citizenTerror,44.246389,15.799444
citizenTerror,44.422,33.325
citizenTerror,11.961111,11.744444
citizenTerror,12.902829,10.656526
citizenTerror,71.46783,34.80508
citizenTerror,81.280733,18.287025
citizenTerror,44.479551,33.255202
citizenTerror,44.29993,33.317833
