MediaTerror,longitude,latitude
MediaTerror,-96.15845,19.058698
MediaTerror,44.401667,14.55
MediaTerror,90.418485,23.781835
MediaTerror,2.370553,48.859172
MediaTerror,120.538736,14.694419
MediaTerror,39.308922,48.568854
MediaTerror,20.066886,32.116645
MediaTerror,90.386137,23.75151
MediaTerror,90.420766,23.761226
MediaTerror,9.910117,53.556487
MediaTerror,70.323889,34.301389
MediaTerror,47.430654,6.769322
MediaTerror,86.214452,26.841428
MediaTerror,69.572493,32.298811
MediaTerror,44.139062,13.757061
MediaTerror,44.213536,15.355873
MediaTerror,-97.505632,25.852107
MediaTerror,13.187298,32.881768
MediaTerror,111.83057,2.287274
MediaTerror,31.235712,30.044458
MediaTerror,36.366068,33.538535
MediaTerror,16.587031,31.20563
MediaTerror,123.855562,9.639358
MediaTerror,36.124664,33.159728
MediaTerror,-75.28622,1.68458
MediaTerror,85.003066,27.032379
MediaTerror,44.166748,13.966641
MediaTerror,90.412518,23.810332
MediaTerror,89.240122,25.761365
MediaTerror,90.394013,23.733102
MediaTerror,44.170161,13.969145
MediaTerror,-76.29799,3.52994
MediaTerror,,
MediaTerror,80.203187,13.02248
MediaTerror,89.563737,22.813902
MediaTerror,,
MediaTerror,77.412749,23.259933
MediaTerror,,
MediaTerror,28.981973,41.081403
MediaTerror,44.202369,15.390314
MediaTerror,90.391334,23.759912
MediaTerror,119.416528,-5.130855
MediaTerror,49.125008,14.538182
MediaTerror,45.033129,12.798801
MediaTerror,23.283384,24.187631
MediaTerror,44.201919,15.345689
MediaTerror,45.30568,2.043958
MediaTerror,121.067005,13.796261
MediaTerror,23.961389,32.076111
MediaTerror,-98.011081,17.340252
MediaTerror,30.527218,50.443231
MediaTerror,30.527218,50.443231
MediaTerror,20.65633,-1.619263
MediaTerror,67.009939,24.861462
MediaTerror,20.082436,32.111164
MediaTerror,69.417424,28.04316
MediaTerror,44.196981,15.367605
MediaTerror,32.566093,15.579891
MediaTerror,6.233296,7.549997
MediaTerror,44.196981,15.367605
MediaTerror,43.65,3.116667
MediaTerror,43.651925,3.11405
MediaTerror,-96.594356,16.33178
MediaTerror,91.871389,24.897778
MediaTerror,,
MediaTerror,19.522939,42.827671
MediaTerror,,
MediaTerror,-44.555031,-18.512178
MediaTerror,44.213536,15.355873
MediaTerror,44.408735,14.545545
MediaTerror,-38.998179,-12.50828
MediaTerror,71.383333,34
MediaTerror,44.010392,13.574698
MediaTerror,68.848197,27.706604
MediaTerror,43.151895,36.351773
MediaTerror,12.72133,32.763672
MediaTerror,70.452738,34.430827
MediaTerror,37.745834,48.021104
MediaTerror,37.803089,48.015883
MediaTerror,92.095943,26.746018
MediaTerror,,
MediaTerror,-61.405589,10.637896
MediaTerror,29.368928,-3.372403
MediaTerror,44.204576,15.352917
MediaTerror,120.965183,14.394605
MediaTerror,-101.257615,21.020728
MediaTerror,68.219687,28.411225
MediaTerror,70.907651,33.455364
MediaTerror,-96.578339,19.260161
MediaTerror,-96.594375,16.33539
MediaTerror,18.583333,4.366667
MediaTerror,43.254581,34.998618
MediaTerror,,
MediaTerror,35.737327,33.670874
MediaTerror,37.160027,36.2065
MediaTerror,39.009055,35.952281
MediaTerror,28.978824,41.008432
MediaTerror,44.29951,33.298911
MediaTerror,79.69511,27.029678
MediaTerror,46.387092,5.538151
MediaTerror,43.151895,36.351773
MediaTerror,46.386482,5.535728
MediaTerror,20.078691,32.106833
MediaTerror,46.386515,5.535675
MediaTerror,89.527207,26.49203
MediaTerror,44.205385,15.353811
MediaTerror,29.36491,-3.358215
MediaTerror,44.397799,14.549689
MediaTerror,-40.79279,-2.906273
MediaTerror,90.434025,23.751892
MediaTerror,80.946159,26.846709
MediaTerror,125.808826,7.448145
MediaTerror,14.426865,27.037991
MediaTerror,31.589704,4.850453
MediaTerror,123.933722,12.752498
MediaTerror,,
MediaTerror,28.982779,41.062876
MediaTerror,68.220077,28.54586
MediaTerror,13.18766,32.881146
MediaTerror,,
MediaTerror,-0.814918,13.161943
MediaTerror,43.13,36.34
MediaTerror,67.111357,36.723836
MediaTerror,123.834519,8.145186
MediaTerror,121.045536,14.679687
MediaTerror,32.58293,-25.966847
MediaTerror,67.687038,26.966449
MediaTerror,70.938667,30.965207
MediaTerror,45.318162,2.046934
MediaTerror,67.017304,24.913797
MediaTerror,71.435938,33.974429
MediaTerror,67.068249,24.984943
MediaTerror,-76.046073,1.852621
MediaTerror,43.133164,36.341076
MediaTerror,85.635779,26.885702
MediaTerror,20.216403,30.749268
MediaTerror,70.559314,37.102846
MediaTerror,,
MediaTerror,67.040026,24.902261
MediaTerror,28.992634,41.052494
MediaTerror,83.412887,25.341312
MediaTerror,17.709298,43.064954
MediaTerror,,
MediaTerror,45.375587,35.564075
MediaTerror,70.472311,34.419999
MediaTerror,70.472311,34.419999
MediaTerror,35.115625,31.529326
MediaTerror,42.533957,33.856606
MediaTerror,65.737175,31.628871
MediaTerror,13.191338,32.887209
MediaTerror,38.795515,37.167404
MediaTerror,121.042749,14.676041
MediaTerror,70.377729,32.214509
MediaTerror,36.276528,33.513807
MediaTerror,66.998734,30.182971
MediaTerror,13.191338,32.887209
MediaTerror,73.079107,31.418714
MediaTerror,71.433219,33.583401
MediaTerror,83.686091,27.524638
MediaTerror,67.065821,24.901724
MediaTerror,,
MediaTerror,69.166736,34.533401
MediaTerror,74.347794,31.5308
MediaTerror,45.304038,2.043012
MediaTerror,39.202641,-6.165917
MediaTerror,72.688132,32.067541
MediaTerror,31.235712,30.04442
MediaTerror,124.291958,8.001027
MediaTerror,37.37811,37.065953
