policeTerror,longitude,latitude
policeTerror,29.000459,41.039164
policeTerror,136.834972,-4.472451
policeTerror,68.599642,30.366281
policeTerror,70.44742,34.434093
policeTerror,62.031136,32.453788
policeTerror,48.636382,15.921257
policeTerror,63.29867,31.997362
policeTerror,68.914444,37.184444
policeTerror,67.565649,28.373562
policeTerror,68.849843,37.110345
policeTerror,68.656837,33.914076
policeTerror,48.788861,15.944438
policeTerror,68.233333,33.065829
policeTerror,62.031136,32.453788
policeTerror,65.70216,31.612835
policeTerror,65.70216,31.612835
policeTerror,31.322858,30.065048
policeTerror,41.44449,31.332063
policeTerror,33.80194,31.130624
policeTerror,66.906922,32.106139
policeTerror,71.099167,34.461111
policeTerror,62.757807,32.794568
policeTerror,34.110425,31.211645
policeTerror,30.762019,28.086801
policeTerror,28.976725,41.00689
policeTerror,68.541317,28.518939
policeTerror,69.251944,29.896111
policeTerror,69.916917,33.333109
policeTerror,44.213536,15.355873
policeTerror,68.446944,33.305833
policeTerror,65.873015,32.626454
policeTerror,64.47316,32.397381
policeTerror,30.836898,29.324607
policeTerror,2.318555,48.816769
policeTerror,65.577382,26.304831
policeTerror,66.192955,32.684456
policeTerror,44.252877,33.079205
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,44.395746,35.470616
policeTerror,-5.856586,54.588478
policeTerror,42.184007,37.331265
policeTerror,42.184007,37.331265
policeTerror,67.033333,24.933333
policeTerror,43.886423,34.192537
policeTerror,43.886423,34.192537
policeTerror,43.886423,34.192537
policeTerror,43.886423,34.192537
policeTerror,44.612324,34.87981
policeTerror,31.245069,30.121423
policeTerror,31.14822,29.989607
policeTerror,64.815,32.260556
policeTerror,90.361499,23.806425
policeTerror,11.096525,11.709427
policeTerror,66.44203,35.967023
policeTerror,49.1825,11.284645
policeTerror,121.044016,5.969382
policeTerror,67.033268,24.933604
policeTerror,33.803186,31.131997
policeTerror,34.240191,31.280267
policeTerror,44.507795,33.25153
policeTerror,66.998824,30.182962
policeTerror,63.624722,34.963611
policeTerror,91.743196,26.171689
policeTerror,66.5125,32.176111
policeTerror,66.289873,35.776813
policeTerror,69.916675,33.333318
policeTerror,34.110425,31.211645
policeTerror,44.396303,35.495925
policeTerror,70.336069,33.695975
policeTerror,66.850045,29.800097
policeTerror,67.565649,28.373562
policeTerror,64.435513,35.814512
policeTerror,64.19502,31.12993
policeTerror,12.118483,10.446327
policeTerror,88.597403,24.366109
policeTerror,91.871471,24.890322
policeTerror,67.646111,31.908611
policeTerror,44.936944,33.978611
policeTerror,64.508123,35.85837
policeTerror,49.1825,11.284645
policeTerror,29.918739,31.200092
policeTerror,70.905212,31.831508
policeTerror,39.517065,48.681082
policeTerror,91.871523,24.897839
policeTerror,91.438875,24.415958
policeTerror,71.580758,34.014641
policeTerror,64.833889,32.073333
policeTerror,63.367503,34.338022
policeTerror,66.056473,36.11347
policeTerror,29.918559,31.199595
policeTerror,70.905344,31.829839
policeTerror,64.833889,32.07265
policeTerror,64.833889,32.07265
policeTerror,64.833889,32.07265
policeTerror,43.766667,35.316625
policeTerror,43.912706,35.269902
policeTerror,43.59431,35.277728
policeTerror,43.462027,35.272238
policeTerror,44.087712,35.135849
policeTerror,63.367503,34.338022
policeTerror,90.403656,23.733729
policeTerror,88.59991,24.366769
policeTerror,44.507795,33.25153
policeTerror,69.916917,33.333109
policeTerror,67.033333,24.933333
policeTerror,62.246389,34.301389
policeTerror,68.237154,32.687975
