terror,longitude,latitude
terror,44.514869,33.349705
terror,15.828342,45.183961
terror,44.276368,33.341992
terror,17.639822,59.857979
terror,20.066488,32.116136
terror,44.366111,33.423333
terror,44.488947,33.305081
terror,44.363851,33.368141
terror,44.354167,33.061667
terror,43.145785,36.325846
terror,42.550002,33.849946
terror,29.000459,41.039164
terror,78.479669,9.869925
terror,69.363056,35.029167
terror,66.961875,24.937569
terror,136.834972,-4.472451
terror,67.876624,29.53963
terror,68.599642,30.366281
terror,47.7,30.383333
terror,70.44742,34.434093
terror,35.243698,31.771366
terror,39.183889,48.721667
terror,38.514635,48.69327
terror,38.270738,48.317078
terror,38.379463,48.633037
terror,37.806111,47.315
terror,38.4,48.333338
terror,37.907298,48.375785
terror,38.323397,48.251964
terror,38.514635,48.692864
terror,38.41282,48.25189
terror,37.743811,48.068785
terror,38.507095,48.328046
terror,11.180555,10.297129
terror,14.658782,10.631559
terror,38.507095,48.328046
terror,62.031136,32.453788
terror,80.77664,18.832981
terror,48.636382,15.921257
terror,48.636382,15.921257
terror,45.322776,15.470053
terror,37.096368,36.19957
terror,41.192947,-1.749689
terror,45.380278,13.128333
terror,84.182967,24.125443
terror,63.29867,31.997362
terror,68.868066,36.728591
terror,68.914444,37.184444
terror,,
terror,64.409318,28.891082
terror,37.160027,36.2065
terror,44.398417,33.342257
terror,44.301349,33.380168
terror,65.81,32.613889
terror,45.30408,2.042886
terror,47.430654,6.769322
terror,43.65009,3.116544
terror,45.566667,3.85
terror,73.83777,36.337837
terror,80.367085,7.483368
terror,69.37845,28.86935
terror,67.565649,28.373562
terror,43.783288,33.349906
terror,43.343622,33.426322
terror,43.907881,33.399539
terror,70.802222,33.518611
terror,64.368809,31.582865
terror,37.806111,47.314984
terror,38.500834,48.329633
terror,38.500834,48.329633
terror,37.741752,48.069685
terror,68.849843,37.110345
terror,91.850123,24.912089
terror,8.460458,9.228089
terror,9.21093,9.410207
terror,8.499615,9.636866
terror,69.262517,34.942699
terror,44.881944,13.056667
terror,122.140401,6.66079
terror,70.44742,34.434093
terror,69.828056,33.242222
terror,44.213536,15.355873
terror,-96.15845,19.058698
terror,44.52248,33.236647
terror,44.413483,33.546272
terror,44.385499,33.215389
terror,44.641439,33.044312
terror,43.493056,34.928947
terror,44.91494,33.962791
terror,75.334212,12.166372
terror,46.872778,14.33
terror,30.716375,46.498405
terror,16.588936,31.205314
terror,15.784901,29.066827
terror,124.73288,6.7001
terror,124.677007,6.802292
terror,62.203101,34.341926
terror,68.656837,33.914076
terror,43.407675,35.213561
terror,43.466814,35.236431
terror,43.3,33.416611
terror,62.203101,34.341926
terror,68.216667,28.550004
terror,65.224275,26.444275
terror,36.459722,35.630833
terror,3.023775,15.425015
terror,11.754643,12.107451
terror,13.818728,13.095123
terror,13.72156,12.992768
terror,13.563938,12.922965
terror,13.563938,12.922965
terror,13.86245,13.120723
terror,13.876099,13.120905
terror,68.416399,33.549963
terror,71.049777,35.221192
terror,70.993524,35.190189
terror,81.241831,18.255729
terror,36.583889,34.030278
terror,48.636382,15.921257
terror,44.213536,15.355873
terror,48.788861,15.944438
terror,70.336069,33.695975
terror,70.336069,33.695975
terror,39.00583,48.963878
terror,37.759419,47.20529
terror,37.899406,48.618219
terror,37.744759,47.261871
terror,32.541517,0.422329
terror,44.620853,34.880927
terror,44.409937,33.328305
terror,44.925186,31.989009
terror,44.293074,33.225134
terror,44.328211,35.299512
terror,44.441866,33.362396
terror,44.422918,33.298709
terror,44.157787,33.462707
terror,67.876624,29.53963
terror,34.008889,31.186667
terror,44.401667,14.55
terror,46.833235,14.536129
terror,30.715515,46.48461
terror,45.313468,2.021916
terror,68.98004,31.329887
terror,69.45009,31.350038
terror,90.418485,23.781835
terror,68.924973,33.962224
terror,62.203101,34.341926
terror,70.962931,33.748011
terror,66.945547,24.976461
terror,71.1904,34.61468
terror,71.399435,34.322759
terror,43.683333,34.6
terror,41.919647,32.559761
terror,41.681389,33.226111
terror,90.418485,23.781835
terror,1.784334,15.587982
terror,-0.026982,16.265509
terror,43.2475,3.808333
terror,68.233333,33.065829
terror,62.031136,32.453788
terror,65.70216,31.612835
terror,65.70216,31.612835
terror,65.7164,31.613509
terror,81.582525,17.985198
terror,16.588936,31.205314
terror,49.366111,14.776111
terror,90.388399,23.742684
terror,90.410751,23.732246
terror,125.120518,12.53232
terror,38.522778,48.239999
terror,38.522778,48.239999
terror,38.522778,48.239999
terror,37.742053,48.069637
terror,31.322858,30.065048
terror,33.617577,30.608472
terror,33.901494,31.103965
terror,44.278685,33.37016
terror,44.48659,33.321917
terror,44.356699,32.984946
terror,44.996505,34.01918
terror,43.695095,34.709253
terror,44.143611,35.188333
terror,43.97273,35.037411
terror,,
terror,,
terror,43.924697,35.149576
terror,44.521942,33.843098
terror,44.936944,33.978277
terror,41.44449,31.332063
terror,33.80194,31.130624
terror,33.716668,47.659451
terror,33.716668,47.659451
terror,32.62154,46.639806
terror,69.166579,34.533498
terror,66.906922,32.106139
terror,67.025981,30.210056
terror,69.099914,29.142088
terror,71.099167,34.461111
terror,71.21719,34.689456
terror,70.621679,34.171831
terror,71.450864,35.008338
terror,-5.553018,15.279522
terror,45.250729,4.554988
terror,66.271154,35.207547
terror,44.205278,15.693056
terror,46.081667,15.798056
terror,44.213536,15.355873
terror,90.400728,23.718198
terror,90.410456,23.718487
terror,23.961926,32.075732
terror,69.743333,33.371389
terror,62.757807,32.794568
terror,120.320635,15.814056
terror,121.5318,16.6715
terror,70.278056,34.2
terror,91.398509,23.015022
terror,34.172752,30.81214
terror,-6.517112,55.072002
terror,24.74529,42.135408
terror,34.110425,31.211645
terror,31.23598,30.044555
terror,30.762019,28.086801
terror,28.976725,41.00689
terror,45.381111,14.0475
terror,64.479408,32.437599
terror,30.573889,-3.440833
terror,68.541317,28.518939
terror,68.714007,34.007712
terror,69.251944,29.896111
terror,67.033333,24.916667
terror,44.366273,33.423458
terror,44.35676,33.211078
terror,44.583424,33.100093
terror,44.373779,33.664354
terror,42.543028,33.907614
terror,42.377877,34.139611
terror,-104.81311,38.824856
terror,38.350817,36.88774
terror,42.283333,2.333333
terror,121,6.05
terror,79.468227,18.00113
terror,80.627589,20.040117
terror,25.272219,12.591678
terror,22.563177,12.683231
terror,124.387397,6.978004
terror,68.331167,33.033668
terror,68.790285,34.165001
terror,68.790285,34.165001
terror,7.42277,4.699885
terror,13.191338,32.887209
terror,2.370553,48.859172
terror,2.287296,48.789746
terror,69.916917,33.333109
terror,44.213536,15.355873
terror,3.04942,43.019169
terror,36.043056,32.888889
terror,70.44742,34.434093
terror,68.814303,36.296755
terror,42.602334,36.763592
terror,44.354167,33.061667
terror,44.215907,34.05911
terror,44.434701,33.426411
terror,44.276368,33.341992
terror,44.373944,33.664229
terror,124.166209,7.885051
terror,0.004826,16.300194
terror,45.203487,4.735941
terror,43.471658,3.312478
